segment_id,coherence_time,entanglement_fidelity,operation_fidelity,target_metric,coherence_time_contribution,entanglement_fidelity_contribution,operation_fidelity_contribution,use_log_scale
4_4_1,56234132519.03468,0.9943765867480964,0.9998221720589962,0.0554261379798062,0.0374542370339815,0.9453473005085106,0.0086335295781388,True
4_4_2,56234132519.03468,0.9943765867480964,0.9994376586748096,0.0626725652472119,0.0368675752561277,0.8996469011773748,0.0711323782680651,True
4_4_3,56234132519.03468,0.9943765867480964,0.9982217205899612,0.0858719266511744,0.0227158011787802,0.5851973192721688,0.4606832205950075,True
4_4_4,56234132519.03468,0.9943765867480964,0.9943765867480968,0.1559344848118922,0.0057183684872767,0.1342213905033557,1.042134150643581,True
4_4_5,56234132519.03468,0.9943765867480964,0.9822172058996111,0.3516952632023288,0.0006333821784554,0.0153912688553723,1.190670622948821,True
4_4_6,56234132519.03468,0.9943765867480964,0.9437658674809656,0.7799683459663475,7.166242207740693e-05,0.0017269061436845,1.2053332868941384,True
4_5_1,56234132519.03468,0.9822172058996108,0.9998221720589962,0.144714299653594,0.0039977189817518,0.9969737256973102,0.0008375629349888,True
4_5_2,56234132519.03468,0.9822172058996108,0.9994376586748096,0.1516188132153825,0.0036906597066224,0.9851948755579628,0.0074252221043373,True
4_5_3,56234132519.03468,0.9822172058996108,0.9982217205899612,0.1729440363874557,0.0039496011925489,0.9315407148098204,0.0711322485785116,True
4_5_4,56234132519.03468,0.9822172058996108,0.9943765867480968,0.2382238739272493,0.0023949890473759,0.6036743383123231,0.4650308470504085,True
4_5_5,56234132519.03468,0.9822172058996108,0.9822172058996111,0.4207342904014182,0.0005858736405718,0.1379717917650656,1.0543375155591164,True
4_5_6,56234132519.03468,0.9822172058996108,0.9437658674809656,0.8197932651694702,6.563269624396883e-05,0.0176771205389889,1.2080905879815371,True
4_6_1,56234132519.03468,0.9437658674809652,0.9998221720589962,0.393954849445735,0.000365034079111,0.992123191615052,7.944960731111887e-05,True
4_6_2,56234132519.03468,0.9437658674809652,0.9994376586748096,0.399252933235079,0.0003664834771346,0.9927126831202768,0.0007615318600553,True
4_6_3,56234132519.03468,0.9437658674809652,0.9982217205899612,0.4163186419088142,0.000363399763035,0.9843538647242736,0.0073058097483171,True
4_6_4,56234132519.03468,0.9437658674809652,0.9943765867480968,0.4681029361583615,0.0003270526951335,0.9335951546442688,0.0698740838774903,True
4_6_5,56234132519.03468,0.9437658674809652,0.9822172058996111,0.6134003535086805,0.0002664893236402,0.6315100090323233,0.4676399707735927,True
4_6_6,56234132519.03468,0.9437658674809652,0.9437658674809656,0.9313376829280132,6.517837965397385e-05,0.1637940704257343,1.0984027014812063,True
5_1_1,177827941003.89154,0.9998221720589962,0.9998221720589962,0.0077634921679081,0.3429287971943223,0.0926920435732714,0.6733175282143968,True
5_1_2,177827941003.89154,0.9998221720589962,0.9994376586748096,0.0153832939233393,0.0640240974837867,0.0172968986345141,1.111421246285082,True
5_1_3,177827941003.89154,0.9998221720589962,0.9982217205899612,0.0392162948821081,0.0058540100407684,0.0014907978160675,1.1942867890208313,True
5_1_4,177827941003.89154,0.9998221720589962,0.9943765867480968,0.1117291643097858,0.0006342370877993,0.000159153429814,1.20336483294055,True
5_1_5,177827941003.89154,0.9998221720589962,0.9822172058996111,0.3148263030152231,6.128224181350008e-05,1.585419740292363e-05,1.2017938216083288,True
5_1_6,177827941003.89154,0.9998221720589962,0.9437658674809656,0.7586621418743039,7.273847007925227e-06,1.7062169170907076e-06,1.1975880384541775,True
5_2_1,177827941003.89154,0.9994376586748096,0.9998221720589962,0.0107172508777337,0.1931431920381878,0.4806177682289081,0.3911140128043001,True
5_2_2,177827941003.89154,0.9994376586748096,0.9994376586748096,0.0183493936512901,0.0479941849718281,0.1262291061597679,1.0071428819352586,True
5_2_3,177827941003.89154,0.9994376586748096,0.9982217205899612,0.0420767398717222,0.0060544028122383,0.0149446808571077,1.180366693301384,True
5_2_4,177827941003.89154,0.9994376586748096,0.9943765867480968,0.1144552485850164,0.0005909574715394,0.0014844657719873,1.2040665522456533,True
5_2_5,177827941003.89154,0.9994376586748096,0.9822172058996111,0.317144570030767,6.13114091909946e-05,0.0001571776453465,1.2023887950833358,True
5_2_6,177827941003.89154,0.9994376586748096,0.9437658674809656,0.7599852229817492,8.140897230964028e-06,1.7295604218917093e-05,1.1978750017546422,True
5_3_1,177827941003.89154,0.9982217205899612,0.9998221720589962,0.020137620967307,0.0365603978467097,0.899100774073032,0.0735990366640597,True
5_3_2,177827941003.89154,0.9982217205899612,0.9994376586748096,0.0277228246555369,0.0230663921665597,0.5790888160573967,0.4654669705356592,True
5_3_3,177827941003.89154,0.9982217205899612,0.9982217205899612,0.0513327618257659,0.0055869027205998,0.130987505440662,1.0399887166092736,True
5_3_4,177827941003.89154,0.9982217205899612,0.9943765867480968,0.123151065451501,0.0006033808065274,0.0152229627400575,1.1852019537649865,True
5_3_5,177827941003.89154,0.9982217205899612,0.9822172058996111,0.3244510345577618,6.555956899336535e-05,0.0015147102314697,1.2023288859527983,True
5_3_6,177827941003.89154,0.9982217205899612,0.9437658674809656,0.7642099674453381,8.21178030165828e-06,0.0001681880381781,1.2001415457809423,True
5_4_1,177827941003.89154,0.9943765867480964,0.9998221720589962,0.049640556902872,0.0040895438852117,0.9838402973297764,0.0077086687615136,True
